decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,presencia,estrategia_pseudo
-10.893719,-76.245534,100.699905,13.98,17.92,4.754667,433.0,1,presencia_real
-11.217004,-75.879583,80.47203,13.436,17.694,4.65,422.0,1,presencia_real
-11.0833,-76.15,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-11.0080005857,-76.1535095445,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-11.1116656643,-76.0227458136,103.83299,13.783,17.108,4.809167,403.0,1,presencia_real
-11.0660981716,-76.1541256902,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-11.1408385069,-76.03322378,103.83299,13.783,17.108,4.809167,403.0,1,presencia_real
-11.1007717919,-76.1292336706,98.84774,13.079,17.399,4.123,441.0,1,presencia_real
-11.0068251069,-76.0655368962,99.877594,13.4800005,15.966001,4.9981666,421.0,1,presencia_real
-11.1147701425,-76.0542161929,103.83299,13.783,17.108,4.809167,403.0,1,presencia_real
-11.1761463263,-76.1690457137,113.676155,13.415,18.339,4.017,411.0,1,presencia_real
-11.2381130262,-75.9429728065,92.13845,13.543,17.877,4.6051664,406.0,1,presencia_real
-11.3155012914,-75.8670343565,82.01774,14.122,17.846,5.2078333,390.0,1,presencia_real
-11.1573945059,-76.0971110871,98.84774,13.079,17.399,4.123,441.0,1,presencia_real
-11.1306669339,-76.1974887308,103.25382,13.096,18.126,3.8773332,433.0,1,presencia_real
-11.1332230082,-76.090858559,98.84774,13.079,17.399,4.123,441.0,1,presencia_real
-10.8940527067,-76.0605807779,79.62703,13.236,18.086,4.23,464.0,1,presencia_real
-10.9123850232,-76.3898400374,91.86533,12.3359995,17.810999,3.4151669,417.0,1,presencia_real
-10.9668725699,-76.0956868657,103.71755,13.598,16.437,4.83,432.0,1,presencia_real
-10.8177202043,-76.1585872755,76.62966,13.343,18.194,4.2473335,454.0,1,presencia_real
-10.8969045601,-76.10554671,93.31813,14.067,18.11,4.8855,451.0,1,presencia_real
-10.8364840222,-76.1902244297,100.699905,13.98,17.92,4.754667,433.0,1,presencia_real
-11.0197900264,-76.1476819095,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-10.9035495977,-76.0288462133,79.62703,13.236,18.086,4.23,464.0,1,presencia_real
-10.8123187033,-76.1904720161,81.415085,13.35,18.05,4.3346667,426.0,1,presencia_real
-10.8986848956,-76.1680663224,100.699905,13.98,17.92,4.754667,433.0,1,presencia_real
-10.8676321747,-76.1238316731,93.31813,14.067,18.11,4.8855,451.0,1,presencia_real
-10.946013416,-76.1993508373,103.26036,13.552,16.728,4.6596665,440.0,1,presencia_real
-11.1845356425,-76.148824374,100.18363,12.677,18.032,3.5808332,447.0,1,presencia_real
-11.0247674615,-76.075025571,99.877594,13.4800005,15.966001,4.9981666,421.0,1,presencia_real
-11.0650565936,-76.1718218124,100.38643,13.4210005,17.533,4.3665,432.0,1,presencia_real
-11.093113961,-76.0561234907,103.83299,13.783,17.108,4.809167,403.0,1,presencia_real
-11.038103066,-76.1214186473,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-11.0030783569,-76.0990557403,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-11.0920547245,-76.0659196995,103.83299,13.783,17.108,4.809167,403.0,1,presencia_real
-11.1399608651,-76.1804336417,103.25382,13.096,18.126,3.8773332,433.0,1,presencia_real
-11.1581389478,-76.0838606,98.84774,13.079,17.399,4.123,441.0,1,presencia_real
-11.1159883998,-75.9433580248,86.66507,13.402,17.876,4.4901667,429.0,1,presencia_real
-11.0112627668,-76.1626394651,105.271034,13.228,15.511,4.864333,431.0,1,presencia_real
-10.9377137451,-76.1420670304,103.71755,13.598,16.437,4.83,432.0,1,presencia_real
-0.8469788268090852,-69.8721979856951,45.519588470458984,30.972999572753906,10.149999618530273,25.262832641601562,730.0,0,aleatoria
-10.942931980085977,-71.4305469895355,73.85150909423828,30.944000244140625,14.044000625610352,23.40999984741211,664.0,0,aleatoria
-5.928307603675528,-68.16908307370834,41.5458984375,31.604999542236328,12.125999450683594,25.190834045410156,605.0,0,aleatoria
-1.9198607965840253,-80.49551638632892,112.63875579833984,28.513999938964844,12.16200065612793,21.46933364868164,512.0,0,aleatoria
-4.738642314941414,-76.25786678627014,27.68464469909668,32.775001525878906,11.633001327514648,26.583166122436523,651.0,0,aleatoria
-15.074643072837834,-75.00722100095518,249.99876403808594,28.829999923706055,17.506999969482422,20.663833618164062,2.0,0,aleatoria
-1.454134593815546,-72.99077353587145,57.96158981323242,31.180999755859375,10.670999526977539,26.45050048828125,614.0,0,aleatoria
-15.414108033599714,-72.45811052965905,169.9160614013672,15.51200008392334,23.64299964904785,2.3991668224334717,291.0,0,aleatoria
-2.8891674066534563,-69.96294931492399,39.024967193603516,31.423999786376953,9.728998184204102,26.448833465576172,666.0,0,aleatoria
-4.667678490114891,-78.28431536564388,37.32506561279297,30.32900047302246,11.860000610351562,24.147998809814453,471.0,0,aleatoria
-14.484170652115427,-73.21918622619327,130.67698669433594,16.187999725341797,20.850000381469727,4.7881669998168945,321.0,0,aleatoria
-9.146867168686171,-68.73780546981686,87.85107421875,31.858999252319336,16.02899932861328,23.396333694458008,800.0,0,aleatoria
-6.349372037751248,-69.71913045655944,42.380950927734375,31.48699951171875,12.45199966430664,25.074832916259766,600.0,0,aleatoria
-8.598394485440968,-78.44064159238538,151.3105926513672,27.91699981689453,14.756999969482422,19.339332580566406,58.0,0,aleatoria
-16.14497691168671,-73.97716114185218,226.8910675048828,27.950000762939453,14.05000114440918,22.71666717529297,2.0,0,aleatoria
-12.807983623919128,-73.97860956293778,63.21904373168945,19.533000946044922,16.301000595092773,11.2611665725708,257.0,0,aleatoria
-5.74169029783932,-71.23674625614656,42.94108963012695,31.19499969482422,11.507999420166016,25.1386661529541,723.0,0,aleatoria
-1.9875006013834096,-78.73246814652822,27.639842987060547,16.552000045776367,12.40999984741211,9.954667091369629,137.0,0,aleatoria
-10.703159962859797,-70.69128112856468,80.55859375,31.41900062561035,14.736000061035156,23.56766700744629,651.0,0,aleatoria
-3.7515179380365087,-73.35773819196022,43.683719635009766,31.858999252319336,11.525999069213867,25.769832611083984,731.0,0,aleatoria
-12.05808065548186,-74.5084254474492,66.49121856689453,23.988000869750977,15.784000396728516,15.840499877929688,316.0,0,aleatoria
-5.763198523693692,-71.4686669036023,43.592506408691406,31.26099967956543,11.5,25.215333938598633,732.0,0,aleatoria
-14.933696255447725,-71.82883584341111,184.5488739013672,14.07800006866455,25.138999938964844,0.21066665649414062,476.0,0,aleatoria
-4.8210173363277065,-77.0630157024475,29.042251586914062,32.604000091552734,11.393999099731445,26.69933319091797,625.0,0,aleatoria
-7.763776790575459,-75.64333313344554,25.030488967895508,32.97200012207031,12.485000610351562,26.455665588378906,710.0,0,aleatoria
-13.74050818246856,-71.31545373129417,163.5267791748047,16.066999435424805,23.67099952697754,3.74399995803833,364.0,0,aleatoria
-1.5212173766804895,-71.29642933723149,48.532108306884766,31.211999893188477,10.128000259399414,26.623332977294922,656.0,0,aleatoria
-12.880689676784666,-73.97146457738289,72.5571517944336,17.48699951171875,17.99199867248535,8.434666633605957,269.0,0,aleatoria
-14.838598967415386,-70.12700437988363,171.59947204589844,18.229999542236328,23.97100067138672,5.578166484832764,228.0,0,aleatoria
-0.1010785883434657,-73.50547850753955,72.54241180419922,31.4950008392334,11.097002029418945,26.560333251953125,459.0,0,aleatoria
-1.802782275536135,-73.72729152364539,58.14495849609375,31.21000099182129,10.948001861572266,26.394832611083984,613.0,0,aleatoria
-11.028269721726806,-68.61135517476946,92.14227294921875,32.15399932861328,15.174999237060547,24.11483383178711,554.0,0,aleatoria
-4.516812191090516,-71.19425731533701,42.83789825439453,31.347000122070312,10.788999557495117,25.831666946411133,623.0,0,aleatoria
-7.075895137133701,-71.67991175251844,50.58743667602539,31.104000091552734,12.296001434326172,24.611665725708008,789.0,0,aleatoria
-7.257952710773372,-68.71162341599927,53.191368103027344,31.54800033569336,13.420999526977539,24.55083465576172,531.0,0,aleatoria
-4.01359875740431,-72.89770588117557,44.060829162597656,31.604000091552734,11.386999130249023,25.604000091552734,719.0,0,aleatoria
-16.275748539800684,-71.29379209289762,189.971923828125,14.338000297546387,24.222999572753906,1.268333077430725,223.0,0,aleatoria
-0.7893287675870866,-73.91695454980032,69.29917907714844,31.378000259399414,11.051000595092773,26.521833419799805,547.0,0,aleatoria
-5.231056284704701,-74.0960364437441,41.183685302734375,32.375,11.788999557495117,26.29283332824707,653.0,0,aleatoria
-5.769549156433559,-76.30689911596973,31.614013671875,32.87800216674805,11.869001388549805,26.553333282470703,554.0,0,aleatoria
-10.605059553818434,-76.1082653094422,72.51220703125,14.13599967956543,17.92599868774414,5.226333141326904,437.0,0,buffer
-11.315927076404112,-76.10942624385838,112.85404968261719,13.36400032043457,18.299999237060547,4.349666595458984,403.0,0,buffer
-11.322130527185884,-75.55692749886738,77.57581329345703,18.72599983215332,16.93199920654297,10.251667022705078,220.0,0,buffer
-10.50048832266044,-76.30373996637405,73.22095489501953,13.61299991607666,17.647998809814453,4.860333442687988,438.0,0,buffer
-10.86264910272151,-76.09453950837897,93.31813049316406,14.067000389099121,18.110000610351562,4.885499954223633,451.0,0,buffer
-11.423737749276706,-75.90768592689312,81.49732971191406,13.892000198364258,17.576000213623047,5.101333141326904,406.0,0,buffer
-11.34652153957856,-75.82181495488459,82.15779113769531,15.605999946594238,18.05299949645996,6.471166610717773,301.0,0,buffer
-10.533831611830813,-76.17134818217468,69.6554183959961,15.227999687194824,17.604000091552734,6.519999980926514,392.0,0,buffer
-10.86195418135748,-76.14619180613127,93.31813049316406,14.067000389099121,18.110000610351562,4.885499954223633,451.0,0,buffer
-10.533091454981957,-76.40495002902743,77.21232604980469,13.079999923706055,17.572999954223633,4.378499984741211,412.0,0,buffer
-10.77377121263125,-76.15452347538825,76.6296615600586,13.343000411987305,18.194000244140625,4.247333526611328,454.0,0,buffer
