decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,elevation,presencia,estrategia_pseudo
-10.893719,-76.245534,100.699905,13.98,17.92,4.754667,433.0,4090,1,presencia_real
-11.217004,-75.879583,80.47203,13.436,17.694,4.65,422.0,4348,1,presencia_real
-11.0833,-76.15,105.271034,13.228,15.511,4.864333,431.0,4088,1,presencia_real
-11.0080005857,-76.1535095445,105.271034,13.228,15.511,4.864333,431.0,4088,1,presencia_real
-11.1116656643,-76.0227458136,103.83299,13.783,17.108,4.809167,403.0,4095,1,presencia_real
-11.0660981716,-76.1541256902,105.271034,13.228,15.511,4.864333,431.0,4088,1,presencia_real
-11.1408385069,-76.03322378,103.83299,13.783,17.108,4.809167,403.0,4095,1,presencia_real
-11.1007717919,-76.1292336706,98.84774,13.079,17.399,4.123,441.0,4259,1,presencia_real
-11.0068251069,-76.0655368962,99.877594,13.4800005,15.966001,4.9981666,421.0,4085,1,presencia_real
-11.1147701425,-76.0542161929,103.83299,13.783,17.108,4.809167,403.0,4095,1,presencia_real
-11.1761463263,-76.1690457137,113.676155,13.415,18.339,4.017,411.0,4115,1,presencia_real
-11.2381130262,-75.9429728065,92.13845,13.543,17.877,4.6051664,406.0,4247,1,presencia_real
-11.3155012914,-75.8670343565,82.01774,14.122,17.846,5.2078333,390.0,4238,1,presencia_real
-11.1573945059,-76.0971110871,98.84774,13.079,17.399,4.123,441.0,4259,1,presencia_real
-11.1306669339,-76.1974887308,103.25382,13.096,18.126,3.8773332,433.0,4223,1,presencia_real
-11.1332230082,-76.090858559,98.84774,13.079,17.399,4.123,441.0,4259,1,presencia_real
-10.8940527067,-76.0605807779,79.62703,13.236,18.086,4.23,464.0,4367,1,presencia_real
-10.9123850232,-76.3898400374,91.86533,12.3359995,17.810999,3.4151669,417.0,4314,1,presencia_real
-10.9668725699,-76.0956868657,103.71755,13.598,16.437,4.83,432.0,4082,1,presencia_real
-10.8177202043,-76.1585872755,76.62966,13.343,18.194,4.2473335,454.0,4351,1,presencia_real
-10.8969045601,-76.10554671,93.31813,14.067,18.11,4.8855,451.0,4129,1,presencia_real
-10.8364840222,-76.1902244297,100.699905,13.98,17.92,4.754667,433.0,4090,1,presencia_real
-11.0197900264,-76.1476819095,105.271034,13.228,15.511,4.864333,431.0,4088,1,presencia_real
-10.9035495977,-76.0288462133,79.62703,13.236,18.086,4.23,464.0,4367,1,presencia_real
-10.8123187033,-76.1904720161,81.415085,13.35,18.05,4.3346667,426.0,4272,1,presencia_real
-10.8986848956,-76.1680663224,100.699905,13.98,17.92,4.754667,433.0,4090,1,presencia_real
-10.8676321747,-76.1238316731,93.31813,14.067,18.11,4.8855,451.0,4129,1,presencia_real
-10.946013416,-76.1993508373,103.26036,13.552,16.728,4.6596665,440.0,4087,1,presencia_real
-11.1845356425,-76.148824374,100.18363,12.677,18.032,3.5808332,447.0,4343,1,presencia_real
-11.0247674615,-76.075025571,99.877594,13.4800005,15.966001,4.9981666,421.0,4085,1,presencia_real
