decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_13,bio_15,presencia,estrategia_pseudo
-5.673133,-77.76283,10.117917,82.46061,41.32924,137.0,21.049725,1,presencia_real
-5.757942,-77.85647,10.897166,83.36904,41.774834,121.0,27.437235,1,presencia_real
-5.695999,-77.81149,10.117917,82.46061,41.32924,137.0,21.049725,1,presencia_real
-5.732644,-77.95452,10.837,83.76101,40.67175,119.0,25.171144,1,presencia_real
-5.665919,-77.90244,10.375334,83.3494,40.074028,124.0,20.94636,1,presencia_real
-5.468768,-77.479271,10.406333,85.66293,34.45533,145.0,13.402604,1,presencia_real
-7.09705,-76.626015,11.4325,87.8747,41.733562,183.0,28.345243,1,presencia_real
-5.616521,-77.917374,10.752167,84.45657,39.17702,119.0,22.042114,1,presencia_real
-5.696237,-77.86121,10.649,83.27338,41.202232,123.0,24.479136,1,presencia_real
-5.793236,-77.79476,10.14375,81.410515,43.724102,146.0,24.007595,1,presencia_real
-5.782428,-77.669441,9.9365835,81.48749,42.87558,135.0,23.093376,1,presencia_real
-6.360141,-77.426605,11.152333,83.375694,46.46772,138.0,35.600136,1,presencia_real
-5.781295,-77.927191,10.662416,83.11831,41.01434,126.0,26.94597,1,presencia_real
-5.598534,-77.96276,10.752167,84.45657,39.17702,119.0,22.042114,1,presencia_real
-5.674825,-77.70393,10.388333,84.197876,38.84124,128.0,19.967636,1,presencia_real
-5.776014,-77.976417,10.662416,83.11831,41.01434,126.0,26.94597,1,presencia_real
-5.641837,-78.259285,9.978167,81.78825,40.721947,135.0,18.421036,1,presencia_real
-5.691149,-77.553864,11.01975,86.61282,37.805458,135.0,19.008913,1,presencia_real
-5.648104,-77.99964,10.752167,84.45657,39.17702,119.0,22.042114,1,presencia_real
-5.7563,-77.7502,10.14375,81.410515,43.724102,146.0,24.007595,1,presencia_real
-6.3474847216,-76.6155630062,11.629167,86.62322,42.62155,187.0,23.862024,1,presencia_real
-5.6399833386,-77.6112788408,10.82125,86.21823,36.927853,129.0,18.530928,1,presencia_real
-6.468539892966621,-79.02067623347271,12.107500076293945,86.99166870117188,41.060306549072266,153.0,48.703941345214844,0,aleatoria
-4.235109712516618,-76.17548420140727,10.243499755859375,88.14645385742188,29.170190811157227,225.0,15.278777122497559,0,aleatoria
-1.8935542430033827,-78.4023503409892,9.030500411987305,84.3262710571289,45.837406158447266,148.0,24.45016098022461,0,aleatoria
-10.46182668857391,-72.71693517919275,10.811583518981934,80.93714141845703,60.135128021240234,230.0,52.89174270629883,0,aleatoria
-1.434990782644089,-77.61341867012197,9.355000495910645,87.34011840820312,46.47601318359375,483.0,18.524965286254883,0,aleatoria
-8.06436881999067,-73.76036364789579,10.372583389282227,81.08013916015625,51.43511962890625,266.0,42.17409896850586,0,aleatoria
-0.5388152911788922,-77.97064080041338,10.022749900817871,86.53730010986328,44.47924041748047,169.0,20.62013816833496,0,aleatoria
-9.567267446014542,-71.12445547479601,10.799583435058594,77.60549926757812,68.3807144165039,248.0,54.78827667236328,0,aleatoria
-5.819216472269448,-76.18117486678398,10.172499656677246,85.82938385009766,31.796627044677734,261.0,28.108219146728516,0,aleatoria
-5.708519575011181,-76.0206304016483,9.996333122253418,85.42415618896484,30.849872589111328,262.0,27.476926803588867,0,aleatoria
-10.489043946538796,-68.2992344462672,10.213666915893555,70.6192855834961,87.63575744628906,253.0,56.879878997802734,0,aleatoria
-5.937368742469566,-77.82450916574,10.858583450317383,81.86507415771484,43.05625534057617,155.0,26.973196029663086,0,aleatoria
