decimalLatitude,decimalLongitude,bio_2,bio_5,bio_13,bio_15,presencia,estrategia_pseudo
-5.673133,-77.76283,10.117917,21.483,137.0,21.049725,1,presencia_real
-5.757942,-77.85647,10.897166,23.616,121.0,27.437235,1,presencia_real
-5.695999,-77.81149,10.117917,21.483,137.0,21.049725,1,presencia_real
-5.732644,-77.95452,10.837,23.922,119.0,25.171144,1,presencia_real
-5.665919,-77.90244,10.375334,23.258,124.0,20.94636,1,presencia_real
-5.468768,-77.479271,10.406333,26.654,145.0,13.402604,1,presencia_real
-5.616521,-77.917374,10.752167,24.924,119.0,22.042114,1,presencia_real
-5.696237,-77.86121,10.649,23.194,123.0,24.479136,1,presencia_real
-5.793236,-77.79476,10.14375,20.4,146.0,24.007595,1,presencia_real
-5.782428,-77.669441,9.9365835,21.609,135.0,23.093376,1,presencia_real
-6.360141,-77.426605,11.152333,24.211,138.0,35.600136,1,presencia_real
-5.781295,-77.927191,10.662416,22.199,126.0,26.94597,1,presencia_real
-5.598534,-77.96276,10.752167,24.924,119.0,22.042114,1,presencia_real
-5.674825,-77.70393,10.388333,24.383,128.0,19.967636,1,presencia_real
-5.776014,-77.976417,10.662416,22.199,126.0,26.94597,1,presencia_real
-5.641837,-78.259285,9.978167,21.143,135.0,18.421036,1,presencia_real
-5.691149,-77.553864,11.01975,28.687,135.0,19.008913,1,presencia_real
-5.648104,-77.99964,10.752167,24.924,119.0,22.042114,1,presencia_real
-5.7563,-77.7502,10.14375,20.4,146.0,24.007595,1,presencia_real
-5.6399833386,-77.6112788408,10.82125,27.625,129.0,18.530928,1,presencia_real
-3.5826236903897914,-74.62269222072112,9.967751,31.799,259.0,6.7657747,0,aleatoria
-8.854058518863262,-71.30776108628046,10.502583,30.984,263.0,51.673496,0,aleatoria
-5.381697787668161,-78.11518849542084,10.521084,27.391,137.0,17.0066,0,aleatoria
-7.470715988585777,-69.01101565749327,10.953,31.488,328.0,52.232983,0,aleatoria
-1.1875528046707269,-71.76829020301645,8.697083,31.032,315.0,17.432938,0,aleatoria
-10.410980244762694,-72.27351367689207,10.92775,31.162,236.0,52.960613,0,aleatoria
-4.901872325147732,-73.34061708798453,9.766167,31.844,281.0,25.647104,0,aleatoria
-7.112453992407545,-74.05978815945721,10.1975,31.954,278.0,35.142204,0,aleatoria
-5.416204508114095,-77.85042228728248,10.47725,26.679,137.0,14.689199,0,aleatoria
-0.9602848694306304,-72.23203351291792,8.842,31.198,304.0,19.712578,0,aleatoria
-0.0094924671460461,-78.0821014910165,10.289833,12.573,104.0,16.740831,0,aleatoria
-8.104428905943836,-69.93312987148065,10.870584,30.984,301.0,52.40374,0,aleatoria
-15.926260071565334,-71.65792012757119,17.7975,18.21,77.0,116.465706,0,aleatoria
-12.562793690067211,-71.25884337168883,10.295083,30.713,462.0,42.91207,0,aleatoria
-8.250777337078732,-71.72367450928243,10.074917,30.663,268.0,49.966103,0,aleatoria
-6.404585836901527,-75.124887703464,10.226,33.049,280.0,33.25105,0,aleatoria
-11.890764694925243,-72.17861395412693,10.813916,30.919,301.0,48.660843,0,aleatoria
-1.6605394489504874,-77.21886737564814,9.509167,29.712,443.0,18.057467,0,aleatoria
-10.431924806208269,-68.1675871713079,10.1883335,31.53,247.0,55.018814,0,aleatoria
-5.947219728790113,-74.24149097896019,10.022833,32.54,253.0,26.156921,0,aleatoria
-6.719505263811744,-76.44585327484029,11.761333,31.622,164.0,22.064978,0,buffer
-6.537218927111207,-76.50249977851807,11.832334,31.263,169.0,21.90149,0,buffer
-5.872915639351962,-78.01045640228261,10.549583,22.152,130.0,27.261372,0,buffer
-6.823579062718856,-76.60811179510908,11.849417,32.908,164.0,24.362267,0,buffer
-6.198196054466694,-77.93216394443662,11.733833,22.87,126.0,36.706245,0,buffer
