species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Cinclodes palliatus,-11.601333,-76.200035,2024-01-30,2024,HUMAN_OBSERVATION,3.0
Cinclodes palliatus,-11.577678,-76.26637,2024-02-04,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-02-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-02-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.615089,-76.17954,2024-02-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-02-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580893,-76.26328,2024-02-04,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-02-04,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.597423,-76.19221,2024-04-30,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-04-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-04-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.551277,-76.827478,2024-05-11T11:36,2024,HUMAN_OBSERVATION,31189.0
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580592,-76.26254,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.169845,-75.63094,2024-05-21,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.582261,-76.26321,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571826,-76.2588,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571221,-76.26129,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571221,-76.26129,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580592,-76.26254,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571399,-76.25902,2024-05-18,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.555201,-76.86314,2024-05-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.604005,-76.1971,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.558803,-76.85774,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.550307,-76.87203,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571248,-76.26128,2024-06-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.549803,-76.86857,2024-06-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.604005,-76.1971,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.550384,-76.87198,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.57125,-76.261406,2024-06-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571248,-76.26128,2024-06-08,2024,HUMAN_OBSERVATION,
