species,decimalLatitude,decimalLongitude,observed_on
Cinclodes palliatus,-11.4093194658,-76.3325218808,2013-12-11 11:46:00-05:00
Cinclodes palliatus,-11.4913228418,-76.269955411,2024-07-15 10:07:00-05:00
Cinclodes palliatus,-11.5023078079,-76.2551186631,2011-09-03 10:09:00-05:00
Cinclodes palliatus,-10.5512767483,-76.8274778579,2024-05-11 11:36:00-05:00
Cinclodes palliatus,-11.5617706739,-76.3634674039,2024-09-30 14:06:00-05:00
Cinclodes palliatus,-11.5805971131,-76.3141758426,2024-09-09 10:42:00-05:00
Cinclodes palliatus,-11.7184007583,-76.3693741987,2022-12-07
Cinclodes palliatus,-11.7268563381,-76.0905411935,2022-02-11 08:43:00-05:00
Cinclodes palliatus,-11.467017589,-76.0637903424,2023-08-10 14:21:00-05:00
Cinclodes palliatus,-11.5594047057,-76.2180507945,2022-06-11 10:28:00-05:00
Cinclodes palliatus,-11.5640551527,-76.2811009049,2023-02-27 10:15:00-05:00
Cinclodes palliatus,-9.1242344109,-75.177991886,2022-10-18 16:43:00-05:00
Cinclodes palliatus,-11.7870881817,-76.3990864111,2022-07-18 12:19:00-05:00
Cinclodes palliatus,-11.7953414297,-76.169022311,2017-05-20 11:00:00-05:00
Cinclodes palliatus,-11.4751457004,-76.0089669005,2022-01-14 13:17:00-05:00
Cinclodes palliatus,-11.5398658484,-76.2142090765,2014-05-24 13:19:00-05:00
Cinclodes palliatus,-11.559180622,-76.1304092644,2021-06-13 11:11:34-04:00
Cinclodes palliatus,-11.433748119,-76.3930317206,2006-03-06 11:16:00-07:00
Cinclodes palliatus,-11.7226925733,-76.1849060604,2015-07-15 09:30:00-05:00
Cinclodes palliatus,-11.4871910336,-76.2454923742,2018-10-21 10:28:00-04:00
Cinclodes palliatus,-11.5981065578,-76.3003777681,2019-05-04 11:36:00-05:00
Cinclodes palliatus,-11.4033584707,-76.1399092949,2014-11-22
Cinclodes palliatus,-11.797069292,-76.2900765556,2018-07-20
Cinclodes palliatus,-11.8040255727,-76.6991797965,2016-07-16 23:26:00+02:00
Cinclodes palliatus,-11.6817319466,-76.0278368704,2015-03-22 06:38:00-04:00
Cinclodes palliatus,-11.7668395693,-76.0059364841,2018-06-14 07:17:00-07:00
