species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Telmatobius macrostomus,-10.893719,-76.245534,2024-02-16T10:24,2024,HUMAN_OBSERVATION,31169.0
Telmatobius macrostomus,-11.217004,-75.879583,2021-05-01T10:50:12,2021,HUMAN_OBSERVATION,31148.0
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,,,1992-02,1992,PRESERVED_SPECIMEN,
Telmatobius macrostomus,-11.0833,-76.15,1986-07-14,1986,PRESERVED_SPECIMEN,3292.0
Telmatobius macrostomus,-11.0833,-76.15,1986-07-14,1986,PRESERVED_SPECIMEN,3292.0
Telmatobius macrostomus,,,1981-02-04,1981,PRESERVED_SPECIMEN,10.0
Telmatobius macrostomus,,,1981-02-04,1981,PRESERVED_SPECIMEN,10.0
Telmatobius macrostomus,,,1981-02-04,1981,PRESERVED_SPECIMEN,10.0
Telmatobius macrostomus,,,1981-02-04,1981,PRESERVED_SPECIMEN,10.0
Telmatobius macrostomus,,,1981-02-04,1981,PRESERVED_SPECIMEN,10.0
