species,decimalLatitude,decimalLongitude,observed_on
Telmatobius macrostomus,-10.8937185472,-76.2455341389,2024-02-16 10:24:00-05:00
Telmatobius macrostomus,-11.0080005857,-76.1535095445,2021-11-07 10:50:13-05:00
Telmatobius macrostomus,-11.1116656643,-76.0227458136,2021-11-07 10:49:21-05:00
Telmatobius macrostomus,-11.0660981716,-76.1541256902,2021-11-07 10:46:00+00:00
Telmatobius macrostomus,-11.1408385069,-76.03322378,2021-11-07 10:46:00+00:00
Telmatobius macrostomus,-11.1007717919,-76.1292336706,2021-11-07 10:28:00+00:00
Telmatobius macrostomus,-11.0068251069,-76.0655368962,2021-11-07 10:52:47-05:00
Telmatobius macrostomus,-11.1147701425,-76.0542161929,2021-11-07 10:50:39-05:00
Telmatobius macrostomus,-11.1761463263,-76.1690457137,2021-11-07 10:49:27-05:00
Telmatobius macrostomus,-11.2381130262,-75.9429728065,2021-05-01 09:45:00+00:00
Telmatobius macrostomus,-11.3155012914,-75.8670343565,2021-05-01 10:30:00+00:00
Telmatobius macrostomus,-11.1573945059,-76.0971110871,2021-05-01 11:27:35-04:00
Telmatobius macrostomus,-11.2170036919,-75.8795831908,2021-05-01 10:50:12-05:00
Telmatobius macrostomus,-11.1306669339,-76.1974887308,2021-04-28 10:06:05-05:00
Telmatobius macrostomus,-11.1332230082,-76.090858559,2016-03-18 10:25:00-04:00
Telmatobius macrostomus,-10.8940527067,-76.0605807779,2019-12-18 15:29:35-05:00
Telmatobius macrostomus,-10.9123850232,-76.3898400374,2019-12-17
Telmatobius macrostomus,-10.9668725699,-76.0956868657,2019-08-23 11:43:19-04:00
Telmatobius macrostomus,-10.8177202043,-76.1585872755,2019-08-23 11:42:48-05:00
Telmatobius macrostomus,-10.8969045601,-76.10554671,2019-08-23 11:27:39-04:00
Telmatobius macrostomus,-10.8364840222,-76.1902244297,2019-08-23 10:52:06-05:00
Telmatobius macrostomus,-11.0197900264,-76.1476819095,2019-08-23 10:52:27-05:00
Telmatobius macrostomus,-10.9035495977,-76.0288462133,2019-08-23 10:49:42-04:00
Telmatobius macrostomus,-10.8123187033,-76.1904720161,2019-08-23 10:51:39-05:00
Telmatobius macrostomus,-10.8986848956,-76.1680663224,2019-08-23 10:50:57-05:00
Telmatobius macrostomus,-10.8676321747,-76.1238316731,2019-08-23 10:45:55-04:00
Telmatobius macrostomus,-10.946013416,-76.1993508373,2019-08-23 10:47:22-05:00
Telmatobius macrostomus,-11.1845356425,-76.148824374,2019-08-22 09:18:30-05:00
Telmatobius macrostomus,-11.0247674615,-76.075025571,2019-08-22 08:51:03-05:00
Telmatobius macrostomus,-11.0650565936,-76.1718218124,2019-08-22 08:46:16-05:00
Telmatobius macrostomus,-11.093113961,-76.0561234907,2019-08-21 11:56:58-05:00
Telmatobius macrostomus,-11.038103066,-76.1214186473,2019-08-21 12:06:22-05:00
Telmatobius macrostomus,-11.0030783569,-76.0990557403,2019-08-21 10:38:30-05:00
Telmatobius macrostomus,-11.0920547245,-76.0659196995,2019-08-21 10:34:56-04:00
Telmatobius macrostomus,-11.1399608651,-76.1804336417,2019-08-21 10:27:51-04:00
Telmatobius macrostomus,-11.1581389478,-76.0838606,2019-08-21 10:23:15-05:00
Telmatobius macrostomus,-11.1159883998,-75.9433580248,2019-08-21 10:17:47-04:00
Telmatobius macrostomus,-11.0112627668,-76.1626394651,2019-08-21 10:20:38-05:00
Telmatobius macrostomus,-10.9377137451,-76.1420670304,2019-08-20 15:54:17-05:00
