species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Xenoglaux loweryi,-5.673133,-77.76283,2024-01-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-01-08,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-01-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-02-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-02-05,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-02-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-02-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-02-05,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.757942,-77.85647,2024-03-18T20:56,2024,HUMAN_OBSERVATION,31373.0
Xenoglaux loweryi,-5.673133,-77.76283,2024-03-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-04-01,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.683271,-77.80453,2024-04-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673128,-77.76283,2024-04-02,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-05-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-05-19,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-05-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.732644,-77.95452,2024-05-28,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-05-19,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-05-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-05-30,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-05-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-06-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.69582,-77.81119,2024-06-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.69582,-77.81119,2024-06-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-06-06,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.665919,-77.90244,2024-06-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-06-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-06-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729351,-77.960915,2024-07-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-07-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729351,-77.960915,2024-07-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-07-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729351,-77.960915,2024-07-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729351,-77.960915,2024-07-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-07-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729351,-77.960915,2024-07-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.72938,-77.96121,2024-08-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-08-25,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-08-01,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-08-04,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-26,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729381,-77.96121,2024-08-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.667464,-77.77071,2024-08-24,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-09-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-29,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-06,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-06,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-06,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-29,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-29,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-09-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.69597,-77.81121,2024-09-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-09-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-06,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-09-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.468768,-77.479271,2024-10-24T06:58:26,2024,HUMAN_OBSERVATION,104901.0
Xenoglaux loweryi,-5.729349,-77.961624,2024-10-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-24,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-27,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730187,-77.96452,2024-10-19,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731321,-77.96411,2024-10-07,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730187,-77.96452,2024-10-19,2024,HUMAN_OBSERVATION,
