species,decimalLatitude,decimalLongitude,observed_on
Xenoglaux loweryi,-5.6695194934,-77.8452743596,2013-05-17 18:56:00-05:00
Xenoglaux loweryi,-5.6008087989,-77.8884581219,2019-09-18 19:48:00-05:00
Xenoglaux loweryi,-5.6165207539,-77.9173737393,2024-11-18 18:38:33-05:00
Xenoglaux loweryi,-7.0970497712,-76.6260147262,2024-11-16 19:40:00-05:00
Xenoglaux loweryi,-5.4687683446,-77.4792705294,2024-10-24 06:58:26-05:00
Xenoglaux loweryi,-6.3474847216,-76.6155630062,2024-10-07 20:01:00-05:00
Xenoglaux loweryi,-5.757942054,-77.8564695599,2024-03-18 20:56:00-05:00
Xenoglaux loweryi,-5.6946159884,-77.7892309162,2024-02-12 18:55:00-05:00
Xenoglaux loweryi,-5.6738150807,-77.8697484557,2010-03-16 21:14:00-05:00
Xenoglaux loweryi,-5.7760138726,-77.9764168232,2013-08-01 19:12:00-05:00
Xenoglaux loweryi,-6.360141374,-77.426605299,2021-10-06 19:08:00-05:00
Xenoglaux loweryi,-5.7341768494,-77.9579866848,2022-07-07 19:58:00-05:00
Xenoglaux loweryi,-5.7824280252,-77.6694413005,2022-04-04 04:45:00+00:00
Xenoglaux loweryi,-5.7554631668,-77.8256196246,2021-01-20 19:01:00+01:00
Xenoglaux loweryi,-5.6787504083,-77.7142702417,2019-11-27 18:43:00-06:00
Xenoglaux loweryi,-5.7032533881,-77.678223205,2015-10-27 20:59:54-04:00
Xenoglaux loweryi,-5.7812946124,-77.9271910511,2019-08-15 19:40:00-05:00
Xenoglaux loweryi,-5.6939026518,-77.7759591727,2016-02-08 20:30:00-06:00
Xenoglaux loweryi,-5.7129940513,-77.9248399785,2010-08-26
Xenoglaux loweryi,-5.6399833386,-77.6112788408,2015-02-28
